code;pairCode;name;manufacturer;itemType;ean;productNumber;defaultImage;image;image2;image3;image4;image5;image6;image7;image8;image9;image10;image11;image12;image13;defaultCategory;categoryText;categoryText2;categoryText3;categoryText4;pricelist:6:price;pricelist:6:standardPrice;pricelist:6:purchasePrice;variant:Barva;variant:Pøíchu;variant:Váha;variant:ZVOL PØÍCHU 1;variant:ZVOL PØÍCHU 2;stock;stockLocation;availabilityInStock;packageAmount;packageAmountUnit;measureAmount;measureAmountUnit;internalNote
46;;Arginine AKG – 250 g;Protein&Co.;product;745125345192;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/46-1_1100x825-arginine-01.jpg?5e0d0c2c;;;;;;;;;;;;;Sportovní výživa > Aminokyseliny;Sportovní výživa > Aminokyseliny;Vánoèní dárky;;;260,00;;;;;;;;2;;Skladem;;;;;
49;;Beta-Alanine 250 g;Protein&Co.;product;745125345208;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/49-1_1100x825-beta-alanine-01.jpg?5e0d0c9d;;;;;;;;;;;;;Sportovní výživa > Aminokyseliny;Sportovní výživa > Aminokyseliny;Sportovní výživa > Anabolizéry, nakopávaèe, NO;;;221,00;;;;;;;;-8;;Skladem;;;;;
52;;Glutamine – 250 g;Protein&Co.;product;745125345338;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/52-1_1100x825-glutamine-01.jpg?5e0d0d5e;;;;;;;;;;;;;Sportovní výživa > Aminokyseliny;Sportovní výživa > Aminokyseliny;Sportovní výživa > Anabolizéry, nakopávaèe, NO;Vánoèní dárky;;197,00;;;;;;;;-56;;Skladem;;;;;
58;;Creatine monohydrate 500 g;Protein&Co.;product;745125345314;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/58-1_1100x825-creatine-01.jpg?5e0d0d45;;;;;;;;;;;;;Sportovní výživa > Kreatin;Sportovní výživa > Aminokyseliny;Sportovní výživa > Kreatin;Sportovní výživa > Anabolizéry, nakopávaèe, NO;Vánoèní dárky;158,00;;;;;;;;-186;;Skladem;;;;;
61;;Booster - nakopávaè 30 dávek;Protein&Co.;product;;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/61_booster.jpg?5b55f8d5;;;;;;;;;;;;;Sportovní výživa > Anabolizéry, nakopávaèe, NO;Sportovní výživa > Anabolizéry, nakopávaèe, NO;;;;;;;;;;;;0;;Skladem;;;;;
64;;BURNER - spalovaè tukù 50cps;Protein&Co.;product;745125345222;;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/64-1_1100x825-burner-01.jpg?5e0d0cc3;;;;;;;;;;;;;Sportovní výživa > Spalovaèe tukù;Sportovní výživa > Spalovaèe tukù;;;;299,00;;;;;;;;0;;Skladem;;;;;
67/BAN;1;CFM WHEY PROTEIN 80 1 kg – 8 pøíchutí;Protein&Co.;product;745125345024;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-8_banan-1000-protein-01.jpg?5e8f87ea;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-8_banan-1000-protein-01.jpg?5e8f87ea;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-9_cokobanan-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-10_cokolada-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-11_jahoda-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-12_orisek-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-13_pistacie-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-14_tresen-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-15_vanilka-1000-protein-01.jpg?5e8f87ed;;;;;;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;299,00;;;;Banana split;;;;-30;;Skladem;;;;;
67/HAZ;1;CFM WHEY PROTEIN 80 1 kg – 8 pøíchutí;Protein&Co.;product;745125345062;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-12_orisek-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-8_banan-1000-protein-01.jpg?5e8f87ea;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-9_cokobanan-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-10_cokolada-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-11_jahoda-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-12_orisek-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-13_pistacie-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-14_tresen-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-15_vanilka-1000-protein-01.jpg?5e8f87ed;;;;;;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;299,00;;;;hazelnut treat;;;;-12;;Skladem;;;;;
67/CHO;1;CFM WHEY PROTEIN 80 1 kg – 8 pøíchutí;Protein&Co.;product;745125345048;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-10_cokolada-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-8_banan-1000-protein-01.jpg?5e8f87ea;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-9_cokobanan-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-10_cokolada-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-11_jahoda-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-12_orisek-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-13_pistacie-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-14_tresen-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-15_vanilka-1000-protein-01.jpg?5e8f87ed;;;;;;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;299,00;;;;Chocolate brownie;;;;-36;;Skladem;;;;;
67/CHO2;1;CFM WHEY PROTEIN 80 1 kg – 8 pøíchutí;Protein&Co.;product;745125345031;;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-9_cokobanan-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-8_banan-1000-protein-01.jpg?5e8f87ea;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-9_cokobanan-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-10_cokolada-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-11_jahoda-1000-protein-01.jpg?5e8f87eb;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-12_orisek-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-13_pistacie-1000-protein-01.jpg?5e8f87ec;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-14_tresen-1000-protein-01.jpg?5e8f87ed;https://cdn.myshoptet.com/usr/www.proteinaco.cz/user/shop/orig/67-15_vanilka-1000-protein-01.jpg?5e8f87ed;;;;;;Sportovní výživa > Proteiny;Sportovní výživa > Proteiny;;;;299,00;;;;Chocobanana symphony;;;;-15;;Skladem;;;;;
